priority,channel_or_surface,current_issue,target_correction,owner,status,target_date,verification_link
P1,LinkedIn company page (about/history),Legacy references in older post corpus and tags,Pin/feature a rebrand clarification + enforce no-legacy-tag policy for new posts,Business Builder,in_progress,2026-04-10,
P1,LinkedIn outbound templates,Old brand/domain variants may reappear in draft text,Enforce canonical identity block in all approval requests and drafts,Business Builder,open,2026-04-06,
P1,Website canonical identity,Ensure canonical domain/email appears consistently,Validate all key pages and metadata use vitan.in + connect@vitan.in,Principle Architect,open,2026-04-12,
P1,Google/Maps listing,Potential missing or inconsistent listing identity and address,Claim/update listing with canonical brand/address/contact,Principle Architect,open,2026-04-15,
P1,JustDial listing,Legacy/duplicate listing risk with outdated info,Consolidate to one canonical listing and remove duplicates,Business Builder,open,2026-04-15,
P1,IndiaMART listing,Legacy address/email drift risk,Update listing identity/contact to canonical values,Business Builder,open,2026-04-15,
P2,Third-party profile aggregators (powrbot/trustburn/etc),Legacy domain persists in mirrored profiles,Submit correction requests where supported,Business Builder,open,2026-04-20,
P2,Internal memory docs,Legacy references not explicitly marked historical,Add historical-note labeling to prevent accidental reuse,Business Builder,open,2026-04-07,
P2,Social hashtag library,Legacy hashtag may leak into drafts,Lock approved hashtag set in SOCIAL_STRATEGY + templates,Business Builder,open,2026-04-06,
P3,Monthly drift monitoring,No recurring drift scan artifact yet,Run monthly query pack and append results file,Business Builder,open,2026-05-03,
