account_id,company,recipient_name,recipient_role,evidence_type,source_url,evidence_quote_or_summary,confidence,usable_in_opener
OUT-2026-0001,HN Safal,TBD,Managing Director / Strategy Head,project_credit_common_reference,https://www.hnsafal.com/wp-content/uploads/Safal-Pegasus.pdf,"Safal Pegasus brochure credits Vitan as architect/consultant for the project, confirming prior working context between HN Safal and Vitan.",high,yes
OUT-2026-0001,HN Safal,TBD,Managing Director / Strategy Head,portfolio_validation,https://www.archdaily.com/122820/pegasus-vitan-architects,"ArchDaily lists Pegasus by Vitan Architects in Ahmedabad, reinforcing verifiable project-level design credit.",high,yes
OUT-2026-0002,Arvind SmartSpaces,Priyansh Kapoor,CEO & Whole-Time Director,recipient_identity_confirmation,https://www.arvindsmartspaces.com/our-leadership-team/,"Arvind SmartSpaces leadership page lists Priyansh Kapoor with executive role, enabling named-recipient personalization.",high,yes
OUT-2026-0002,Arvind SmartSpaces,Priyansh Kapoor,CEO & Whole-Time Director,market_context_common_reference,https://www.arvindsmartspaces.com/,"Arvind SmartSpaces public site highlights active Ahmedabad projects, enabling a verifiable Ahmedabad delivery-context opener.",medium,yes
OUT-2026-0002,Arvind SmartSpaces,Priyansh Kapoor,CEO & Whole-Time Director,role_recency_confirmation,https://www.arvindsmartspaces.com/wp-content/uploads/2025/07/Press-Release-Appointment-of-Whole-Time-Director-CEO-21-07-2025.pdf,"Company press release confirms WTD/CEO appointment, supporting role recency for executive routing.",high,yes
OUT-2026-0003,Shivalik Group,Chitrak Shah,CEO,recipient_identity_confirmation,https://shivalikgroup.com/about,"Shivalik Group about page identifies leadership (including Chitrak Shah), enabling named-recipient personalization.",high,yes
OUT-2026-0003,Shivalik Group,Chitrak Shah,CEO,portfolio_context_common_reference,https://shivalikgroup.com/project-partner,"Shivalik project-partner/development page provides premium urban development context to anchor a specific, non-generic opener.",medium,yes
OUT-2026-0004,Goyal & Co.,TBD,Director / Growth Leadership,company_context_only,https://goyalco.com/our-legacy/,"Public legacy page confirms company context but does not provide a verified named recipient for this row.",medium,no
OUT-2026-0004,Goyal & Co.,TBD,Director / Growth Leadership,ecosystem_reference_candidate,https://goyalco.com/wp-content/uploads/2022/03/Riviera_Aspire_2022_brochure.pdf,"Riviera Aspire brochure shows Goyal and HN Safal co-development context, but recipient-level mapping remains unresolved.",medium,no
OUT-2026-0005,Iscon Group,TBD,Founder Office / Development Head,route_context_only,https://iscongroup.com/contact.html,"Public contact route is available but named decision-maker identity is still unresolved for release readiness.",low,no
OUT-2026-0005,Iscon Group,TBD,Founder Office / Development Head,company_context_only,https://www.iscongroup.com/about.html,"Company about context exists; insufficient recipient-level evidence for high-confidence opener release.",low,no
